,sub_cluster,words,cluster
366,Vehicles (Actions and Characteristics),row,(Super cluster 16: Vehicles and Transportation)
367,Vehicles (Actions and Characteristics),sail,(Super cluster 16: Vehicles and Transportation)
368,Vehicles (Actions and Characteristics),cruise,(Super cluster 16: Vehicles and Transportation)
369,Vehicles (Actions and Characteristics),glide,(Super cluster 16: Vehicles and Transportation)
370,Vehicles (Air Transportation),balloon,(Super cluster 16: Vehicles and Transportation)
371,Vehicles (Air Transportation),helicopter,(Super cluster 16: Vehicles and Transportation)
372,Vehicles (Air Transportation),kite,(Super cluster 16: Vehicles and Transportation)
373,Vehicles (Air Transportation),plane,(Super cluster 16: Vehicles and Transportation)
374,Vehicles (Air Transportation),rocket,(Super cluster 16: Vehicles and Transportation)
375,Vehicles (Air Transportation),aircraft,(Super cluster 16: Vehicles and Transportation)
376,Vehicles (Air Transportation),airline,(Super cluster 16: Vehicles and Transportation)
377,Vehicles (Air Transportation),airplane,(Super cluster 16: Vehicles and Transportation)
378,Vehicles (Air Transportation),spacecraft,(Super cluster 16: Vehicles and Transportation)
,,ferry,
,,lorry,
,,motorbike,
379,Transportation (Types),bicycle,(Super cluster 16: Vehicles and Transportation)
380,Transportation (Types),bike,(Super cluster 16: Vehicles and Transportation)
381,Transportation (Types),bus,(Super cluster 16: Vehicles and Transportation)
382,Transportation (Types),car,(Super cluster 16: Vehicles and Transportation)
383,Transportation (Types),train,(Super cluster 16: Vehicles and Transportation)
384,Transportation (Types),tricycle,(Super cluster 16: Vehicles and Transportation)
385,Transportation (Types),truck,(Super cluster 16: Vehicles and Transportation)
386,Transportation (Types),van,(Super cluster 16: Vehicles and Transportation)
387,Transportation (Types),wagon,(Super cluster 16: Vehicles and Transportation)
388,Transportation (Types),ambulance,(Super cluster 16: Vehicles and Transportation)
389,Transportation (Types),automobile,(Super cluster 16: Vehicles and Transportation)
390,Transportation (Types),cab,(Super cluster 16: Vehicles and Transportation)
391,Transportation (Types),locomotive,(Super cluster 16: Vehicles and Transportation)
392,Transportation (Types),motorcycle,(Super cluster 16: Vehicles and Transportation)
393,Transportation (Types),scooter,(Super cluster 16: Vehicles and Transportation)
394,Transportation (Types),stagecoach,(Super cluster 16: Vehicles and Transportation)
395,Transportation (Types),subway,(Super cluster 16: Vehicles and Transportation)
396,Transportation (Types),taxi,(Super cluster 16: Vehicles and Transportation)
397,Transportation (Types),taxicab,(Super cluster 16: Vehicles and Transportation)
398,Transportation (Types),trailer,(Super cluster 16: Vehicles and Transportation)
399,Parts of Vehicles,paddle,(Super cluster 16: Vehicles and Transportation)
400,Parts of Vehicles,wheel,(Super cluster 16: Vehicles and Transportation)
401,Parts of Vehicles,anchor,(Super cluster 16: Vehicles and Transportation)
402,Parts of Vehicles,fender,(Super cluster 16: Vehicles and Transportation)
403,Parts of Vehicles,mirror,(Super cluster 16: Vehicles and Transportation)
404,Parts of Vehicles,oar,(Super cluster 16: Vehicles and Transportation)
405,Parts of Vehicles,parachute,(Super cluster 16: Vehicles and Transportation)
406,Parts of Vehicles,seatbelt,(Super cluster 16: Vehicles and Transportation)
407,Parts of Vehicles,tail,(Super cluster 16: Vehicles and Transportation)
408,Parts of Vehicles,tire,(Super cluster 16: Vehicles and Transportation)
409,Parts of Vehicles,trunk,(Super cluster 16: Vehicles and Transportation)
410,Parts of Vehicles,wing,(Super cluster 16: Vehicles and Transportation)
411,Vehicles (Sea Transportation),boat,(Super cluster 16: Vehicles and Transportation)
412,Vehicles (Sea Transportation),canoe,(Super cluster 16: Vehicles and Transportation)
413,Vehicles (Sea Transportation),ship,(Super cluster 16: Vehicles and Transportation)
414,Vehicles (Sea Transportation),raft,(Super cluster 16: Vehicles and Transportation)
415,Vehicles (Sea Transportation),submarine,(Super cluster 16: Vehicles and Transportation)
416,Vehicles (Sea Transportation),tugboat,(Super cluster 16: Vehicles and Transportation)
417,Vehicles (Sea Transportation),yacht,(Super cluster 16: Vehicles and Transportation)
418,Vehicles (Snow),sled,(Super cluster 16: Vehicles and Transportation)
419,Vehicles (Snow),sleigh,(Super cluster 16: Vehicles and Transportation)
420,Vehicles (Snow),snowplow,(Super cluster 16: Vehicles and Transportation)
421,Vehicles (Work-related),tractor,(Super cluster 16: Vehicles and Transportation)
422,Vehicles (Work-related),wheelbarrow,(Super cluster 16: Vehicles and Transportation)
423,Money and Goods,cent,(Super cluster 17: Money and Goods)
424,Money and Goods,coin,(Super cluster 17: Money and Goods)
425,Money and Goods,dollar,(Super cluster 17: Money and Goods)
426,Money and Goods,money,(Super cluster 17: Money and Goods)
427,Money and Goods,penny,(Super cluster 17: Money and Goods)
428,Money and Goods,quarter,(Super cluster 17: Money and Goods)
429,Money and Goods,cash,(Super cluster 17: Money and Goods)
430,Money and Goods,check,(Super cluster 17: Money and Goods)
431,Money and Goods,dime,(Super cluster 17: Money and Goods)
432,Money and Goods,nickel,(Super cluster 17: Money and Goods)
433,Money and Goods,pound,(Super cluster 17: Money and Goods)
434,Money and Goods,ticket,(Super cluster 17: Money and Goods)
435,Places Where Money/Goods Are Kept,bank,(Super cluster 17: Money and Goods)
436,Places Where Money/Goods Are Kept,safe,(Super cluster 17: Money and Goods)
437,Places Where Money/Goods Are Kept,purse,(Super cluster 17: Money and Goods)
438,Places Where Money/Goods Are Kept,wallet,(Super cluster 17: Money and Goods)
,,bookshop,
,,supermarket,
439,Money/Goods (Received),gift,(Super cluster 17: Money and Goods)
440,Money/Goods (Received),prize,(Super cluster 17: Money and Goods)
